file_id,fname,task,label,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17
829ffe8d1ca8e87d,100011,B,Thunder,0.010588,1278.920955,0.069153,0.053500,0.891419,-284.536405,138.195871,9.047040,10.329806,7.009841,13.904619,-2.019748,-6.499435,-8.410517,-5.272243,-6.014651,-6.074506,-4.175864
1c1852bdff8adec6,100771,B,Door,0.094373,2227.700965,0.022594,0.146987,1.249789,-374.012559,125.521430,6.287081,2.845139,1.128254,0.654078,-5.343282,-2.610805,-8.061605,-3.953620,-6.624780,-2.848029,-5.671972
e494d13d1974b818,101242,B,Traffic_noise_and_roadway_noise,0.008611,1858.528078,0.169452,0.122845,0.921903,-52.195900,114.445345,-84.354962,-5.847729,7.008325,8.143020,2.164020,8.924653,5.403408,7.091391,0.257691,7.856237,1.406455
310d8c1ef2835259,101868,B,Traffic_noise_and_roadway_noise,0.007880,1713.234239,0.090214,0.042714,0.856486,-172.763301,113.681002,1.970094,27.453304,4.528422,22.682441,2.512264,12.923525,3.175871,8.964865,-1.229959,8.685445,0.487982
a2fa8eb4ee13267c,102024,A,Drum,0.014745,1781.724865,0.040878,0.062387,2.409900,-304.643807,110.038809,6.524883,22.666521,8.540044,7.454533,11.305816,5.695737,1.856973,1.492282,-1.753945,5.756210,-0.167784
942e9e1a795bbfb6,102379,A,Drum,0.044558,2515.609490,0.032922,0.116540,2.138616,-238.020565,86.293698,-19.649627,13.733937,-14.064717,-8.601004,-15.662115,-7.284210,-12.555065,-2.446019,-13.330951,-4.119081,-9.426170
bdd4a18ebafd2919,102391,A,Drum,0.023528,2009.698411,0.038964,0.093680,2.193271,-245.225619,107.170349,-26.884249,14.095949,-12.472277,-4.265640,-9.046946,-3.111743,-6.262951,-3.840358,-12.709537,-9.057697,-13.518522
b8034735db8d7646,102449,B,Car,0.015550,1929.386370,0.033822,0.072130,0.910566,-276.133730,98.159192,-5.262476,8.616468,-5.984984,0.736789,-0.775612,3.052708,-5.101100,-3.945111,-7.733955,-2.340344,-7.673286
2d90b3aa40914b56,103606,B,Water,0.101440,3099.788217,0.030360,0.178935,1.188163,-167.807893,59.649574,-30.735755,-2.232574,-6.783529,5.117678,-3.392231,8.506090,1.011450,7.575302,1.093914,9.423652,3.181866
50c67ea3707db7e9,105032,B,Thunder,0.012046,1358.070725,0.013476,0.057884,0.882378,-412.741621,142.452825,18.768926,7.201524,2.918985,7.749686,-5.399622,-7.208778,-2.480963,-3.162213,-3.950641,-4.689397,-3.399206
c863ae1d03ade07b,105406,A,Piano,0.009067,789.938866,0.067312,0.053642,0.766231,-368.804154,188.369935,-46.926878,-15.050083,-12.284960,-37.294585,-19.713741,-17.521787,-29.020804,-31.610715,-20.659917,-17.645818,-13.336315
0fbc1e2ccfb5d198,106098,B,Water,0.012700,1581.797172,0.012714,0.026814,2.993227,-490.262477,101.665082,19.236186,11.633179,8.199746,9.437117,13.049548,17.243054,6.420065,5.194975,6.701372,6.056455,1.632864
7a5d9043cff4bbb4,106486,B,Car,0.045892,2689.975829,0.012623,0.117657,1.019796,-275.858927,75.040650,-4.292217,23.993949,20.245728,18.227761,3.423020,-1.227340,-3.522672,16.583558,4.451993,4.932057,0.955990
1816cda29be905cc,106748,A,Guitar,0.000020,1102.289486,0.164258,0.080252,1.013945,-264.772953,136.263980,-59.401794,-29.989027,-48.302870,-43.124770,-7.041023,-5.974312,-11.318094,-17.963907,-15.057169,-9.805158,-13.031916
10e3671e8827edf1,107117,B,Door,0.096179,2602.742941,0.058162,0.170819,0.880769,-180.106751,55.606404,-67.974052,35.317025,-24.164795,6.551918,-28.033188,9.114719,-14.731114,-13.500311,-21.652514,-5.308696,-10.295528
7d46c4be4bd1a34c,107637,B,Door,0.003434,1248.308456,0.082435,0.032444,1.097115,-249.907742,136.505335,-0.106794,30.580944,9.096883,12.077967,1.983389,7.718731,8.676621,8.778865,5.147090,8.222286,1.013636
d9f9d148a8798cbf,109523,B,Truck,0.018956,1949.080165,0.071276,0.110493,0.900254,-137.488863,115.919929,-45.132386,-20.000907,-18.632933,-7.261283,-11.278115,-2.410545,-19.436131,-14.355933,-15.211002,-2.162418,-11.471715
0c48503283a7b784,110324,B,Rain,0.196740,3737.807874,0.023094,0.254487,0.903954,-199.110054,40.605649,-21.742562,1.082357,-11.756522,-10.075587,-10.673651,-9.364271,-11.248143,-7.170283,-12.464837,-6.238383,-10.100655
7c060b81f6dce356,113125,B,Door,0.003601,1413.265301,0.022115,0.034238,1.132467,-399.287042,114.605304,6.851661,19.896041,12.521420,8.611656,5.591578,6.539013,11.022904,10.589857,3.314815,7.172200,4.314806
61c04ec6bc417224,113136,B,Door,0.079653,2635.511379,0.016692,0.106318,2.191924,-350.910877,75.932745,-10.146135,24.020411,-1.380669,13.775544,8.778272,11.919729,4.593038,11.897500,3.821804,4.540005,4.985278
